日新月异	日新月异 🌞❤🌙👆
nge	nge けﾟ ケﾟ
ngi	ngi きﾟ キﾟ
ngo	ngo こﾟ コﾟ
ngu	ngu くﾟ クﾟ
ngwa	ngwa くﾟゎ クﾟヮ
ngya	ngya きﾟゃ キﾟャ
ngyo	ngyo きﾟょ キﾟョ
ngyu	ngyu きﾟゅ キﾟュ
ni	ni に ニ
Nicaragua	Nicaragua 🇳🇮
Niger	Niger 🇳🇪
Nigeria	Nigeria 🇳🇬
nj	nj ǌ
no	no の ノ ❌ ✖ ✗ ✘ × ☒ ❎ ❌ 🙅‍♂ 🙅 🙅‍♀ 🆖 🙅🏻‍♂ 🙅🏼‍♂ 🙅🏽‍♂ 🙅🏾‍♂ 🙅🏿‍♂ 🙅🏻 🙅🏼 🙅🏽 🙅🏾 🙅🏿 🙅🏻‍♀ 🙅🏼‍♀ 🙅🏽‍♀ 🙅🏾‍♀ 🙅🏿‍♀
Norway	Norway 🇳🇴
nu	nu Ν 𝛮 𝜈 ぬ ヌ
number	number №
nya	nya にゃ ニャ
nyo	nyo にょ ニョ
nyu	nyu にゅ ニュ
o	o お オ ō ó ŏ ò ⓞ Ⓞ 🄾 🅞 🅾 ⒪ 🄞 🇴 ℴ 𝒪 𝓸 𝓞 𝔬 𝔒 𝖔 𝕺 o̶ 𝚘 𝙾 𝕠 𝕆 ô Ø ö ő ȯ õ ₒ º ɔ ᶗ ꬿ ǫ ọ ơ ɵ ᴑ ᴒ ᴓ ꝋ ꝍ ṓ ṑ ố ồ ỗ ổ ȱ ȫ ȭ ṏ ộ ǭ ǿ ớ ờ ỡ ở ợ ɷ ⱺ ᴖ ᴗ ᴏ ᴐ
oe	oe œ ᴔ ɶ
oi	oi ƣ
OK	OK 🆗 🙆‍♂ 🙆 🙆‍♀ 👌 👍 🙆🏻‍♂ 🙆🏼‍♂ 🙆🏽‍♂ 🙆🏾‍♂ 🙆🏿‍♂ 🙆🏻 🙆🏼 🙆🏽 🙆🏾 🙆🏿 🙆🏻‍♀ 🙆🏼‍♀ 🙆🏽‍♀ 🙆🏾‍♀ 🙆🏿‍♀ 👌🏻 👌🏼 👌🏽 👌🏾 👌🏿 👍🏻 👍🏼 👍🏽 👍🏾 👍🏿
Oman	Oman 🇴🇲
omega	omega Ω 𝛺 𝜔
omicron	omicron Ο 𝛰 𝜊
oo	oo ꝏ
ou	ou ȣ
O型血	O型血 🅾 🅾️
p	p ⓟ Ⓟ ℗ 🄿 🅟 🅿 ⒫ 🄟 🇵 𝓅 𝒫 𝓹 𝓟 𝔭 𝔓 𝖕 𝕻 p̶ 𝚙 𝙿 𝕡 ℙ ṕ ṗ ᵽ ꝑ ᵱ ƥ ᶈ ꝓ ꝕ ɸ ⱷ ᴘ ꟼ
pa	pa ぱ パ
Pakistan	Pakistan 🇵🇰
Panama	Panama 🇵🇦
Paraguay	Paraguay 🇵🇾
partial	partial ∂ 𝛛 𝜕 𝝏
pe	pe ぺ ペ
Peru	Peru 🇵🇪
pH	pH ㏗
phi	phi Φ 𝛷 𝜑 ϕ 𝜙
Philippines	Philippines 🇵🇭
pi	pi Π 𝛱 𝜋 ϖ 𝜛 ぴ ピ
po	po ぽ ポ
Poland	Poland 🇵🇱
Portugal	Portugal 🇵🇹
ppm	ppm ㏙
psi	psi Ψ 𝛹 𝜓
pu	pu ぷ プ
pya	pya ぴゃ ピャ
pyo	pyo ぴょ ピョ
pyu	pyu ぴゅ ピュ
q	q ー ⓠ Ⓠ 🅀 🅠 🆀 ⒬ 🄠 🇶 𝓆 𝒬 𝓺 𝓠 𝔮 𝔔 𝖖 𝕼 q̶ 𝚚 𝚀 𝕢 ℚ ɋ ꝗ ꝙ ʠ
Qatar	Qatar 🇶🇦
qp	qp ȹ
r	r ʀ ⓡ Ⓡ 🅁 🅡 🆁 ⒭ 🄡 🇷 𝓇 ℛ 𝓻 𝓡 𝔯 ℜ 𝖗 𝕽 r̶ 𝚛 𝚁 𝕣 ℝ ŕ ř ȑ ȓ ṙ ᵣ ɍ ꞧ ᵲ ŗ ṟ ṛ ṝ ᵳ ɽ ᶉ ꭇ ꝵ ɹ ɺ ɻ ⱹ ɼ ɾ ɿ ꝛ ꝝ ᴙ ꝶ ʶ
ra	ra ら ラ
re	re れ レ
rho	rho Ρ 𝛲 𝜌 ϱ 𝜚
ri	ri り リ
ro	ro ろ ロ
Romania	Romania 🇷🇴
ru	ru る ル
Russia	Russia 🇷🇺
Rwanda	Rwanda 🇷🇼
rya	rya りゃ リャ
ryo	ryo りょ リョ
ryu	ryu りゅ リュ
s	s $ ⓢ Ⓢ 🅂 🅢 🆂 ⒮ 🄢 🇸 𝓈 𝒮 𝓼 𝓢 𝔰 𝔖 𝖘 𝕾 s̶ 𝚜 𝚂 𝕤 𝕊 ś ŝ š ṡ ʂ ᵴ ꞩ ᶊ ş ṣ ș ȿ ṧ ṩ ʃ ʆ ᶘ ʅ ƪ ß ſ ẛ ẜ ẝ ꜱ
sa	sa さ サ
Sahara	Sahara 🇪🇭
Samoa	Samoa 🇼🇸
se	se せ セ
Senegal	Senegal 🇸🇳
Serbia	Serbia 🇷🇸
sha	sha しゃ シャ
she	she しぇ シェ
shi	shi し シ
sho	sho しょ ショ
shu	shu しゅ シュ
si	si すぃ スィ
sigma	sigma Σ 𝛴 𝜎
Singapore	Singapore 🇸🇬
Slovakia	Slovakia 🇸🇰
Slovenia	Slovenia 🇸🇮
so	so そ ソ
Somalia	Somalia 🇸🇴
Spain	Spain 🇪🇸
su	su す ス
Sudan	Sudan 🇸🇩
Swaziland	Swaziland 🇸🇿
Sweden	Sweden 🇸🇪
Switzerland	Switzerland 🇨🇭
Syria	Syria 🇸🇾
t	t っ ッ ⓣ Ⓣ 🅃 🅣 🆃 ⒯ 🄣 🇹 𝓉 𝒯 𝓽 𝓣 𝔱 𝔗 𝖙 𝕿 t̶ 𝚝 𝚃 𝕥 𝕋 ť ṫ ẗ ₜ ʈ þ ŧ ⱦ ţ ṯ ṱ ṭ ț ƭ ᵵ ƫ ʇ ȶ ꝷ ᴛ Ʇ
ta	ta た タ
Tajikistan	Tajikistan 🇹🇯
Tanzania	Tanzania 🇹🇿
tau	tau Τ 𝛵 𝜏
tc	tc ʨ
te	te て テ
th	th ᵺ
Thailand	Thailand 🇹🇭
theta	theta Θ 𝛩 ϴ 𝛳 𝜃 𝜗
ti	ti てぃ ティ
tm	tm ™
to	to と ト
Togo	Togo 🇹🇬
ts	ts ʦ ʧ
tsa	tsa つぁ ツァ
tse	tse つぇ ツェ
tsi	tsi つぃ ツィ
tso	tso つぉ ツォ
tsu	tsu つ ツ
tu	tu つﾟ ツﾟ とぅ トゥ
Tunisia	Tunisia 🇹🇳
Turkey	Turkey 🇹🇷
Turkmenistan	Turkmenistan 🇹🇲
tya	tya てゃ テャ
tyo	tyo てょ テョ
tyu	tyu てゅ テュ
tz	tz ꜩ
T恤	T恤 👕
T恤衫	T恤衫 👕
u	u う ウ ū ú ŭ ù ü ǖ ǘ ǚ ǜ ⓤ Ⓤ 🅄 🅤 🆄 ⒰ 🄤 🇺 𝓊 𝒰 𝓾 𝓤 𝔲 𝔘 𝖚 𝖀 u̶ 𝚞 𝚄 𝕦 𝕌 ȕ û ȗ ů ũ ᵤ ʉ ủ ų ṷ ụ ṳ ṵ ư ʊ ᵿ ᶙ ứ ừ ữ ử ự ꭒ ꝸ ᴝ ᴞ Ű ᴜ
ue	ue ᵫ
Uganda	Uganda 🇺🇬
Ukraine	Ukraine 🇺🇦
upsilon	upsilon Υ 𝛶 𝜐
Uruguay	Uruguay 🇺🇾
Uzbekistan	Uzbekistan 🇺🇿
v	v ⓥ Ⓥ 🅅 🅥 🆅 ⒱ 🄥 🇻 𝓋 𝒱 𝓿 𝓥 𝔳 𝔙 𝖛 𝖁 v̶ 𝚟 𝚅 𝕧 𝕍 ṽ ᵥ ṿ ꝟ ʋ ᶌ ⱴ ⱱ ỽ ʌ ᴠ
va	va ゔぁ ヴァ
Vatican	Vatican 🇻🇦
ve	ve ゔぇ ヴェ
Venezuela	Venezuela 🇻🇪
vi	vi ゔぃ ヴィ
Vietnam	Vietnam 🇻🇳
vo	vo ゔぉ ヴォ
vs	vs 🆚
vu	vu ゔ ヴ
vy	vy ꝡ
vya	vya ゔゃ ヴャ
vyo	vyo ゔょ ヴョ
vyu	vyu ゔゅ ヴュ
w	w ⓦ Ⓦ 🅆 🅦 🆆 ⒲ 🄦 🇼 𝓌 𝒲 𝔀 𝓦 𝔴 𝔚 𝖜 𝖂 w̶ 𝚠 𝚆 𝕨 𝕎 ẃ ẁ ŵ ẇ ẅ ẘ ẉ ƿ ʍ ⱳ W̊ ᴡ
wa	wa わ ワ
we	we ゑ ヱ
whe	whe うぇ ウェ
whi	whi うぃ ウィ
wi	wi ゐ ヰ
wo	wo を ヲ
ww	ww ʬ
x	x ⓧ Ⓧ 🅇 🅧 🆇 ⒳ 🄧 🇽 𝓍 𝒳 𝔁 𝓧 𝔵 𝔛 𝖝 𝖃 x̶ 𝚡 𝚇 𝕩 𝕏 ẋ ẍ ᶍ ₓ ꭖ
xi	xi Ξ 𝛯 𝜉
y	y ⓨ Ⓨ 🅈 🅨 🆈 ⒴ 🄨 🇾 𝓎 𝒴 𝔂 𝓨 𝔶 𝔜 𝖞 𝖄 y̶ 𝚢 𝚈 𝕪 𝕐 ȳ ý ỳ ŷ ẏ ÿ ẙ ỹ ɏ ỷ ỵ ƴ ʎ ỿ ꭚ ʏ
ya	ya や ヤ
Yemen	Yemen 🇾🇪
yo	yo よ ヨ
yu	yu ゆ ユ
z	z ⓩ Ⓩ 🅉 🅩 🆉 ⒵ 🄩 🇿 𝓏 𝒵 𝔃 𝓩 𝔷 ℨ 𝖟 𝖅 z̶ 𝚣 𝚉 𝕫 ℤ ź ž ẑ ż ʐ ʑ ƶ ẕ ẓ ᵶ ȥ ⱬ ᶎ ʒ ǯ ʓ ƹ ƺ ᶚ θ ᶿ ɀ ꝣ ᴢ ᴣ
za	za ざ ザ
Zambia	Zambia 🇿🇲
ze	ze ぜ ゼ
zeta	zeta Ζ 𝛧 𝜁
zi	zi ずぃ ズィ
Zimbabwe	Zimbabwe 🇿🇼
zo	zo ぞ ゾ
zu	zu ず ズ づ ヅ
阿尔巴尼亚	阿尔巴尼亚 🇦🇱
阿尔及利亚	阿尔及利亚 🇩🇿
阿爾巴尼亞	阿爾巴尼亞 🇦🇱
阿爾及利亞	阿爾及利亞 🇩🇿
阿富汗	阿富汗 🇦🇫
阿根廷	阿根廷 🇦🇷
阿公	阿公 👴 👴🏻 👴🏻
阿拉伯	阿拉伯 ☪ 👳 🧔🏻 🧕🏻 ☪️ 🧕🏾
阿拉伯联合酋长国	阿拉伯联合酋长国 🇦🇪
阿拉伯聯合大公國	阿拉伯聯合大公國 🇦🇪
阿拉伯男人	阿拉伯男人 🧔🏻
阿拉伯女人	阿拉伯女人 🧕🏻 🧕🏾
阿拉丁灯神	阿拉丁灯神 🧞‍♀ 🧞‍♂ 🧞
阿拉丁燈神	阿拉丁燈神 🧞‍♀ 🧞‍♂ 🧞
阿兰群岛	阿兰群岛 🇦🇽
阿联	阿联 🇦🇪
阿联酋	阿联酋 🇦🇪
阿聯	阿聯 🇦🇪
阿聯酋	阿聯酋 🇦🇪
阿鲁巴	阿鲁巴 🇦🇼
阿鲁巴岛	阿鲁巴岛 🇦🇼
阿魯巴	阿魯巴 🇦🇼
阿曼	阿曼 🇴🇲
阿婆	阿婆 👵 👵🏻 👵🏻
阿塞拜彊	阿塞拜彊 🇦🇿
阿塞拜疆	阿塞拜疆 🇦🇿
阿森松	阿森松 🇸🇭
阿森松岛	阿森松岛 🇦🇨
阿爷	阿爷 👴 👴🏻 👴🏻
阿爺	阿爺 👴 👴🏻 👴🏻
啊	啊 😟 😥 😿 🤨 😢 😥 😿 🤨
啊嚏	啊嚏 🤧
哀悼	哀悼 💮
埃	埃 Å
埃及	埃及 🇪🇬
埃塞俄比亚	埃塞俄比亚 🇪🇹
埃塞俄比亞	埃塞俄比亞 🇪🇹
唉	唉 😔 😪 😪 😮‍💨
爱	爱 👫 👬 👭 💑 👨‍❤‍👨 👩‍❤‍👩 😍 😘 🥰 😻 🤟 🤟🏻 🤟🏼 🤟🏽 🤟🏾 🤟🏿 ❤ 💓 💗 ❤️️ 🥰
爱尔兰	爱尔兰 🇮🇪
爱你	爱你 😍 😘 🥰 😻 🤟 🤟🏻 🤟🏼 🤟🏽 🤟🏾 🤟🏿 😚 😽 🤟🏻 🥰
爱情	爱情 👫 👬 👭 💑 👨‍❤‍👨 👩‍❤‍👩 💓 💑🏻
爱情宾馆	爱情宾馆 🏩
爱情旅馆	爱情旅馆 🏩
爱沙尼亚	爱沙尼亚 🇪🇪
爱心	爱心 ❤ 💗 💗 🫶🏻
爱心礼物	爱心礼物 💝
爱意	爱意 💟
愛	愛 ❤ 💓 💗 😍 😘 🥰 ❤️️ 🥰
愛爾蘭	愛爾蘭 🇮🇪
愛你	愛你 😍 😘 😚 😽 🤟🏻 🥰 🤟🏻 🥰
愛情	愛情 💑 💓 💑🏻
愛情賓館	愛情賓館 🏩
愛情旅館	愛情旅館 🏩
愛沙尼亞	愛沙尼亞 🇪🇪
愛心	愛心 ❤ 💗 💗 🫶🏻
愛心禮物	愛心禮物 💝
愛意	愛意 💟
安	安 ㎀ ㎁ ㎂ ㎃ ㎄ 🉃
安道尔	安道尔 🇦🇩
安道尔共和国	安道尔共和国 🇦🇩
安道爾	安道爾 🇦🇩
安道爾共和國	安道爾共和國 🇦🇩
安地卡及巴布达	安地卡及巴布达 🇦🇬
安地卡及巴布達	安地卡及巴布達 🇦🇬
安哥拉	安哥拉 🇦🇴
安圭拉	安圭拉 🇦🇮
安圭拉岛	安圭拉岛 🇦🇮
安检	安检 🛂 🛃 🛄 🛅
安静	安静 😯 🤐 🤫 🤭 🙊 🤫
安靜	安靜 🤫
安培	安培 ㎀ ㎁ ㎂ ㎃ ㎄
安全	安全 🔐
安全帽	安全帽 ⛑ ⛑️
安提瓜和巴布达	安提瓜和巴布达 🇦🇬
安提瓜和巴布達	安提瓜和巴布達 🇦🇬
安慰	安慰 😌 🤗 🤗
安心	安心 😌
安逸	安逸 😌
唵	唵 🕉 🕉️
按摩	按摩 💆‍♂ 💆‍ 💆‍♀ 💆🏻‍♂ 💆🏼‍♂ 💆🏽‍♂ 💆🏾‍♂ 💆🏿‍♂ 💆🏻 💆🏼 💆🏽 💆🏾 💆🏿 💆🏻‍♀ 💆🏼‍♀ 💆🏽‍♀ 💆🏾‍♀ 💆🏿‍♀ 💆 💆🏻
按摩女	按摩女 💆🏻‍♀ 💆🏻‍♀️
按摩师	按摩师 💆🏻‍♂ 💆🏻
按摩師	按摩師 💆🏻‍♂ 💆🏻
按钮	按钮 🅰 🆎 🅱 🆑 🆒 🆓 ℹ 🆔 Ⓜ 🆕 🆖 🅾 🆗 🅿 🆘 🆙 🆚 🔘
按鈕	按鈕 🔘
暗夜精灵	暗夜精灵 🧝🏻‍♀ 🧝🏻‍♂ 🧝🏻
暗夜精靈	暗夜精靈 🧝🏻‍♀ 🧝🏻‍♂ 🧝🏻
奥地利	奥地利 🇦🇹
奥兰群岛	奥兰群岛 🇦🇽
奧地利	奧地利 🇦🇹
奧蘭群島	奧蘭群島 🇦🇽
澳大利亚	澳大利亚 🇦🇺
澳大利亞	澳大利亞 🇦🇺
澳门	澳门 🇲🇴
澳門	澳門 🇲🇴
澳洲	澳洲 🌏 🇦🇺 🇦🇺 🌏
八	八 八、 捌 Ⅷ 〨 ⁸ ₈ ⓼ 𝟠 ⒏ 🄉 ㊇ ㈧ 8⃣ 𓃐 8️⃣
八带鱼	八带鱼 🐙
八帶魚	八帶魚 🐙
八点	八点 🕗
八点半	八点半 🕣
八点钟	八点钟 🕗
八點	八點 🕗
八點半	八點半 🕣
八點鐘	八點鐘 🕗
八卦	八卦 ☯ ☰ ☱ ☲ ☳ ☷ ☶ ☵ ☴ 天乾☰ 泽兑☱ 火离☲ 雷震☳ 地坤☷ 山艮☶ 水坎☵ 风巽☴
八角星	八角星 ✳ ✴ ✳️ ✴️
八门	八门 开门 休门 生门 伤门 杜门 景门 死门 惊门
八荣八耻	八荣八耻 社会主义荣辱观 以热爱祖国为荣，以危害祖国为耻；以服务人民为荣，以背离人民为耻；以崇尚科学为荣，以愚昧无知为耻；以辛勤劳动为荣，以好逸恶劳为耻；以团结互助为荣，以损人利己为耻；以诚实守信为荣，以见利忘义为耻；以遵纪守法为荣，以违法乱纪为耻；以艰苦奋斗为荣，以骄奢淫逸为耻。
八爪鱼	八爪鱼 🐙
八爪魚	八爪魚 🐙
巴巴多斯	巴巴多斯 🇧🇧
巴贝多	巴贝多 🇧🇧
巴貝多	巴貝多 🇧🇧
巴布亚纽几内亚	巴布亚纽几内亚 🇵🇬
巴布亚新几内亚	巴布亚新几内亚 🇵🇬
巴布亞紐幾內亞	巴布亞紐幾內亞 🇵🇬
巴布亞新幾內亞	巴布亞新幾內亞 🇵🇬
巴哈马	巴哈马 🇧🇸
巴哈馬	巴哈馬 🇧🇸
巴基斯坦	巴基斯坦 🇵🇰
巴拉圭	巴拉圭 🇵🇾
巴勒斯坦	巴勒斯坦 🇵🇸
巴林	巴林 🇧🇭
巴拿马	巴拿马 🇵🇦
巴拿馬	巴拿馬 🇵🇦
巴士	巴士 🚌 🚍 🚎 🚐 🚌
巴士站	巴士站 🚏
巴西	巴西 🇧🇷
粑粑	粑粑 💩
把戏	把戏 🤹🏻‍♀ 🤹🏻‍♂ 🤹🏻
把戲	把戲 🤹🏻‍♀ 🤹🏻‍♂ 🤹🏻
爸	爸 👨 👨🏻 👨🏻
爸爸	爸爸 👨 👨🏻 👨🏻
霸王龙	霸王龙 🦖
霸王龍	霸王龍 🦖
白菜	白菜 🥬
白痴	白痴 🐷
白癡	白癡 🐷
白大褂	白大褂 🥼
白俄罗斯	白俄罗斯 🇧🇾
白俄羅斯	白俄羅斯 🇧🇾
白发	白发 👨🏻‍🦳 👩🏻‍🦳 🧑🏻‍🦳
白髮	白髮 👨🏻‍🦳 👩🏻‍🦳 🧑🏻‍🦳
白饭	白饭 🍚
白飯	白飯 🍚
白方	白方 ◻ ◻️
白花	白花 💮
白老鼠	白老鼠 🐁
白领	白领 👨‍💼 🧑‍💼 👩‍💼 👨🏻‍💼 👨🏼‍💼 👨🏽‍💼 👨🏾‍💼 👨🏿‍💼 🧑🏻‍💼 🧑🏼‍💼 🧑🏽‍💼 🧑🏾‍💼 🧑🏿‍💼 👩🏻‍💼 👩🏼‍💼 👩🏽‍💼 👩🏾‍💼 👩🏿‍💼 🧑🏻‍💼
白領	白領 👨🏻‍💼 👩🏻‍💼 🧑🏻‍💼
白罗斯	白罗斯 🇧🇾
白羅斯	白羅斯 🇧🇾
白目	白目 🙄
白旗	白旗 🏳 🏳️
白人	白人 👨🏼 👩🏼 👱🏼‍♀ 👱🏼 👴🏼 👵🏼 👦🏼 👧🏼 👶🏼 🧓🏼 🧑🏼 👱🏼 🧒🏼 👶🏼
白鼠	白鼠 🐁
白兔	白兔 🐇
白眼	白眼 🙄
白羊座	白羊座 ♈ ♈️
白中有黑	白中有黑 🔳
白种人	白种人 👨🏼 👩🏼 👱🏼‍♀ 👱🏼 👴🏼 👵🏼 👦🏼 👧🏼 👶🏼 🧓🏼 🧑🏼 👱🏼 🧒🏼 👶🏼
白種人	白種人 👨🏼 👩🏼 👱🏼‍♀ 👱🏼 👴🏼 👵🏼 👦🏼 👧🏼 👶🏼 🧓🏼 🧑🏼 👱🏼 🧒🏼 👶🏼
白珠	白珠 ⚪ ⚪️
白子	白子 ⚪ ⚪️
百	百 佰
百点	百点 💯
百點	百點 💯
百分	百分 % ％ 💯
百分比	百分比 ㌫
百货	百货 🏬
百货大楼	百货大楼 🏬
百货公司	百货公司 🏬
百货商店	百货商店 🏬
百貨	百貨 🏬
百貨大樓	百貨大樓 🏬
百貨公司	百貨公司 🏬
百貨商店	百貨商店 🏬
百家姓	百家姓 赵钱孙李 周吴郑王 冯陈褚卫 蒋沈韩杨 朱秦尤许 何吕施张 孔曹严华 金魏陶姜 戚谢邹喻 柏水窦章 云苏潘葛 奚范彭郎 鲁韦昌马 苗凤花方 俞任袁柳 酆鲍史唐 费廉岑薛 雷贺倪汤 滕殷罗毕 郝邬安常 乐于时傅 皮卞齐康 伍余元卜 顾孟平黄 和穆萧尹 姚邵湛汪 祁毛禹狄 米贝明臧 计伏成戴 谈宋茅庞 熊纪舒屈 项祝董梁 杜阮蓝闵 席季麻强 贾路娄危 江童颜郭 梅盛林刁 钟徐邱骆 高夏蔡田 樊胡凌霍 虞万支柯 昝管卢莫 经房裘缪 干解应宗 丁宣贲邓 郁单杭洪 包诸左石 崔吉钮龚 程嵇邢滑 裴陆荣翁 荀羊於惠 甄曲家封 芮羿储靳 汲邴糜松 井段富巫 乌焦巴弓 牧隗山谷 车侯宓蓬 全郗班仰 秋仲伊宫 宁仇栾暴 甘钭厉戎 祖武符刘 景詹束龙 叶幸司韶 郜黎蓟薄 印宿白怀 蒲邰从鄂 索咸籍赖 卓蔺屠蒙 池乔阴鬱 胥能苍双 闻莘党翟 谭贡劳逄 姬申扶堵 冉宰郦雍 卻璩桑桂 濮牛寿通 边扈燕冀 郏浦尚农 温别庄晏 柴瞿阎充 慕连茹习 宦艾鱼容 向古易慎 戈廖庾终 暨居衡步 都耿满弘 匡国文寇 广禄阙东 欧殳沃利 蔚越夔隆 师巩厍聂 晁勾敖融 冷訾辛阚 那简饶空 曾毋沙乜 养鞠须丰 巢关蒯相 查后荆红 游竺权逯 盖益桓公 万俟司马 上官欧阳 夏侯诸葛 闻人东方 赫连皇甫 尉迟公羊 澹台公冶 宗政濮阳 淳于单于 太叔申屠 公孙仲孙 轩辕令狐 钟离宇文 长孙慕容 鲜于闾丘 司徒司空 丌官司寇 仉督子车 颛孙端木 巫马公西 漆雕乐正 壤驷公良 拓跋夹谷 宰父谷梁 晋楚闫法 汝鄢涂钦 段干百里 东郭南门 呼延归海 羊舌微生 岳帅缑亢 况郈有琴 梁丘左丘 东门西门 商牟佘佴 伯赏南宫 墨哈谯笪 年爱阳佟 第五言福 百家姓终
百慕达	百慕达 🇧🇲
百慕達	百慕達 🇧🇲
百慕大	百慕大 🇧🇲
柏树	柏树 🌳
柏樹	柏樹 🌳
败	败 🉈
拜	拜 🙏 🙏🏻 🙏🏼 🙏🏽 🙏🏾 🙏🏿
拜拜	拜拜 👋 👋🏻 👋🏻
拜金	拜金 🤑
拜托	拜托 🙏 🥺 🥺
拜託	拜託 🙏 🥺 🥺
扳手	扳手 🔧
班主住	班主住 👨🏻‍🏫 👩🏻‍🏫 🧑🏻‍🏫
班卓	班卓 🪕
斑马	斑马 🦓
斑馬	斑馬 🦓
板车	板车 🛴 🛵
板栗	板栗 🌰
板球	板球 🏏
板球棒	板球棒 🏏
板札	板札 🙌 🙌🏻 🙌🏻
版权	版权 © ℗ ©️
版權	版權 © ©️
办公大楼	办公大楼 🏢
办公楼	办公楼 🏢
半	半 :30
半身像	半身像 👤
半月	半月 🌓
辦公大樓	辦公大樓 🏢
辦公樓	辦公樓 🏢
扮鬼脸	扮鬼脸 😜
扮鬼臉	扮鬼臉 😜
扮酷	扮酷 😎
绑上缎带的心	绑上缎带的心 💝
綁上緞帶的心	綁上緞帶的心 💝
棒	棒 👍 👍🏻 👍🏼 👍🏽 👍🏾 👍🏿 💯 😺 🤩 👍🏻 💯 🤩
棒棒糖	棒棒糖 🍭
棒呆	棒呆 🤩
棒球	棒球 ⚾ ⚾️
傍晚	傍晚 🌆 🌇 🌆
包	包 👜 👝 👛 👝 👛 👜 💼 🧳 🎒
包谷	包谷 🌽
包穀	包穀 🌽
包裹	包裹 📦
包含	包含 ⊂ ⊃ ⊆ ⊇
包米	包米 🌽
包头巾	包头巾 👳
包头巾的男人	包头巾的男人 👳
包頭巾	包頭巾 👳
包頭巾的男人	包頭巾的男人 👳
包装	包装 📦
包装盒	包装盒 🎁
包裝盒	包裝盒 🎁
苞米	苞米 🌽
薄饼	薄饼 🍕 🥞 🍕 🥞 🫓
薄餅	薄餅 🍕 🥞 🍕 🥞 🫓
宝宝	宝宝 👶 🚼
宝贝	宝贝 👶 👶🏻 👶🏻
宝石	宝石 💎 💠
保加利亚	保加利亚 🇧🇬
保加利亞	保加利亞 🇧🇬
保龄	保龄 🎳
保龄球	保龄球 🎳
保齡	保齡 🎳
保齡球	保齡球 🎳
保险丝	保险丝 ⏛
堡垒	堡垒 🏰
堡壘	堡壘 🏰
寶寶	寶寶 👶 🚼
寶貝	寶貝 👶 👶🏻 👶🏻
寶石	寶石 💎 💠
报表	报表 📊
报警	报警 🚔
报刊	报刊 📰
报纸	报纸 📰 🗞 📰
抱抱	抱抱 🤗
抱一抱	抱一抱 🤗
豹	豹 🐆
豹子	豹子 🐆
報表	報表 📊
報警	報警 🚔
報刊	報刊 📰
報紙	報紙 📰
暴风	暴风 🌀
爆米花	爆米花 🍿
爆炸	爆炸 💥 🤯
爆竹	爆竹 🧨
杯式蛋糕	杯式蛋糕 🧁
悲伤	悲伤 😢 😭
悲傷	悲傷 😢 😭
悲痛	悲痛 😢
北	北 🀃
北朝鲜	北朝鲜 🇰🇵
北朝鮮	北朝鮮 🇰🇵
北韩	北韩 🇰🇵
北韓	北韓 🇰🇵
北马里亚纳群岛	北马里亚纳群岛 🇲🇵
北马利安纳群岛	北马利安纳群岛 🇲🇵
北馬里亞納群島	北馬里亞納群島 🇲🇵
北馬利安納群島	北馬利安納群島 🇲🇵
贝	贝 🐚
贝壳	贝壳 🐚
贝类	贝类 🐚
贝里斯	贝里斯 🇧🇿
贝南	贝南 🇧🇯
贝宁	贝宁 🇧🇯
貝	貝 🐚
貝類	貝類 🐚
貝里斯	貝里斯 🇧🇿
貝南	貝南 🇧🇯
貝寧	貝寧 🇧🇯
貝殼	貝殼 🐚
备忘	备忘 📝
备忘录	备忘录 📝 🗒 📇 📋 📕 📝
背包	背包 🎒
背心	背心 🎽
被骗	被骗 💸
被騙	被騙 💸
備忘	備忘 📝
備忘錄	備忘錄 📕 📝 📝
奔马	奔马 🐎
奔馬	奔馬 🐎
奔跑	奔跑 🏃‍♂ 🏃 🏃‍♀ 💨 🏃🏻‍♂ 🏃🏼‍♂ 🏃🏽‍♂ 🏃🏾‍♂ 🏃🏿‍♂ 🏃🏻 🏃🏼 🏃🏽 🏃🏾 🏃🏿 🏃🏻‍♀ 🏃🏼‍♀ 🏃🏽‍♀ 🏃🏾‍♀ 🏃🏿‍♀ 🏃🏻
本	本 🉀
苯	苯 ⌬ ⏣
笨蛋	笨蛋 🐷
鼻	鼻 👃 👃🏻 👃🏼 👃🏽 👃🏾 👃🏿 👃🏻
鼻子	鼻子 👃 👃🏻 👃🏼 👃🏽 👃🏾 👃🏿 👃🏻
匕手	匕手 🗡 🗡️
匕首	匕首 🗡 † ‡
比	比 : / ： 🆚 🆚️
比基尼	比基尼 👙
比利时	比利时 🇧🇪
比利時	比利時 🇧🇪
比例	比例 4:3 16:9
比萨	比萨 🍕
比萨片	比萨片 🍕
比薩	比薩 🍕
比薩片	比薩片 🍕
比赛	比赛 🆚
比賽	比賽 🆚
笔	笔 ✏ ✒ 🖋 🖊
笔电	笔电 💻
笔划	笔划 ㇀ ㇁ ㇂ ㇃ ㇄ ㇅ ㇆ ㇇ ㇈ ㇉ ㇊ ㇋ ㇌ ㇍ ㇎ ㇏ ㇐ ㇑ ㇒ ㇓ ㇔ ㇕ ㇖ ㇗ ㇘ ㇙ ㇚ ㇛ ㇜ ㇝ ㇞ ㇟ ㇠ ㇡ ㇢ ㇣
笔记	笔记 📒
